+-------------------------------------+----+-----+--+-------------------+--+------------------+---+--+------------------+--+------------------+---+
| dB as a percentage of gain and loss |    |     |  |                   |  |                  |   |  |                  |  |                  |   |
+-------------------------------------+----+-----+--+-------------------+--+------------------+---+--+------------------+--+------------------+---+
|                                     |    |     |  |                   |  | Loss             |   |  |                  |  | Gain             |   |
|                                     |    |     |  |                   |  |                  |   |  |                  |  |                  |   |
|                                   1 | dB | 0.1 |  | 0.794328234724282 |  | 20.5671765275718 | % |  | 1.25892541179417 |  | 25.8925411794167 | % |
|                                   2 | dB | 0.2 |  | 0.630957344480193 |  | 36.9042655519807 | % |  | 1.58489319246111 |  | 58.4893192461113 | % |
|                                   3 | dB | 0.3 |  | 0.501187233627272 |  | 49.8812766372728 | % |  | 1.99526231496888 |  | 99.526231496888  | % |
|                                   4 | dB | 0.4 |  | 0.398107170553497 |  | 60.1892829446503 | % |  | 2.51188643150958 |  | 151.188643150958 | % |
|                                   5 | dB | 0.5 |  | 0.316227766016838 |  | 68.3772233983162 | % |  | 3.16227766016838 |  | 216.227766016838 | % |
|                                   6 | dB | 0.6 |  | 0.251188643150958 |  | 74.8811356849042 | % |  | 3.98107170553497 |  | 298.107170553497 | % |
|                                   7 | dB | 0.7 |  | 0.199526231496888 |  | 80.0473768503112 | % |  | 5.01187233627272 |  | 401.187233627272 | % |
|                                   8 | dB | 0.8 |  | 0.158489319246111 |  | 84.1510680753889 | % |  | 6.30957344480193 |  | 530.957344480193 | % |
|                                   9 | dB | 0.9 |  | 0.125892541179417 |  | 87.4107458820583 | % |  | 7.94328234724282 |  | 694.328234724282 | % |
|                                  10 | dB | 1   |  | 0.1               |  | 90               | % |  | 10               |  | 900              | % |
|                                  11 | dB | 1.1 |  | 0.079432823472428 |  | 92.0567176527572 | % |  | 12.5892541179417 |  | 1158.92541179417 | % |
|                                  12 | dB | 1.2 |  | 0.063095734448019 |  | 93.6904265551981 | % |  | 15.8489319246111 |  | 1484.89319246111 | % |
|                                  13 | dB | 1.3 |  | 0.050118723362727 |  | 94.9881276637273 | % |  | 19.9526231496888 |  | 1895.26231496888 | % |
|                                  14 | dB | 1.4 |  | 0.03981071705535  |  | 96.018928294465  | % |  | 25.1188643150958 |  | 2411.88643150958 | % |
|                                  15 | dB | 1.5 |  | 0.031622776601684 |  | 96.8377223398316 | % |  | 31.6227766016838 |  | 3062.27766016838 | % |
|                                  16 | dB | 1.6 |  | 0.025118864315096 |  | 97.4881135684904 | % |  | 39.8107170553497 |  | 3881.07170553497 | % |
|                                  17 | dB | 1.7 |  | 0.019952623149689 |  | 98.0047376850311 | % |  | 50.1187233627272 |  | 4911.87233627272 | % |
|                                  18 | dB | 1.8 |  | 0.015848931924611 |  | 98.4151068075389 | % |  | 63.0957344480193 |  | 6209.57344480193 | % |
|                                  19 | dB | 1.9 |  | 0.012589254117942 |  | 98.7410745882058 | % |  | 79.4328234724281 |  | 7843.28234724281 | % |
|                                  20 | dB | 2   |  | 0.01              |  | 99               | % |  | 100              |  | 9900             | % |
|                                  21 | dB | 2.1 |  | 0.007943282347243 |  | 99.2056717652757 | % |  | 125.892541179417 |  | 12489.2541179417 | % |
|                                  22 | dB | 2.2 |  | 0.006309573444802 |  | 99.3690426555198 | % |  | 158.489319246111 |  | 15748.9319246111 | % |
+-------------------------------------+----+-----+--+-------------------+--+------------------+---+--+------------------+--+------------------+---+
